isNode,name,id,x,y,color,radius,community,from,to,weight

true,13,Sniper,457.3282.dp,342.71585.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,14,Roshan,433.53894.dp,660.1613.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,7,Ryan,421.50995.dp,499.64575.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,12,Lion,725.70276.dp,1026.5232.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,5,Tristan,800.8322.dp,23.990685.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,10,Lycan,592.7067.dp,935.848.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,20,6,1498.49.dp,499.64575.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,17,3,1264.1929.dp,93.83106.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,11,Io,1040.4828.dp,1073.9686.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,15,1,960.0.dp,0.0.dp,0.53333336/0.53333336/0.53333336,25.0.dp,-1,,,
true,2,Andrew,1427.6537.dp,810.0.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,19,5,1462.6719.dp,342.71585.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,4,John,879.51715.dp,1073.9686.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,16,2,1119.1678.dp,23.990685.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,21,7,1486.461.dp,660.1613.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,1,Thomas,537.811.dp,203.3155.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,3,Iakov,1194.2972.dp,1026.5232.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,8,Pudge,492.34628.dp,810.0.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,18,4,1382.189.dp,203.3155.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,6,Arthur,1327.2933.dp,935.848.dp,0.0/0.0/0.0,25.0.dp,-1,,,
true,9,Tiny,655.8072.dp,93.83106.dp,0.0/0.0/0.0,25.0.dp,-1,,,
false,19,,,,,,,20,15,5.0
false,21,,,,,,,14,20,0.0
false,10,,,,,,,14,11,6.0
false,20,,,,,,,17,20,0.0
false,3,,,,,,,1,3,3.0
false,4,,,,,,,2,3,4.0
false,6,,,,,,,3,7,6.0
false,15,,,,,,,15,17,1.0
false,14,,,,,,,16,15,22.0
false,16,,,,,,,15,18,6.0
false,9,,,,,,,14,10,6.0
false,12,,,,,,,14,13,5.0
false,5,,,,,,,5,3,5.0
false,2,,,,,,,3,4,2.0
false,18,,,,,,,15,21,3.0
false,8,,,,,,,14,9,6.0
false,1,,,,,,,1,2,1.0
false,11,,,,,,,14,12,6.0
false,7,,,,,,,14,8,6.0
false,13,,,,,,,14,3,0.0
false,17,,,,,,,19,15,2.0
